"survey_offers","survey_plans","survey_salary","fulltimejob","survey_internships","major1"
NA,"seeking continuing education",NA,0,"0","Marketing"
"0","accepted fulltime job",NA,1,"0","Finance"
"1","accepted fulltime job",40000,1,"2","Marketing"
NA,"accepted fulltime job",NA,1,"2","Finance"
"1","accepted fulltime job",63500,1,"2","Marketing"
"4","accepted fulltime job",68000,1,"4","Marketing"
"1","accepted fulltime job",58000,1,"3","Finance"
"1","accepted fulltime job",53000,1,"3","Accountancy"
NA,"accepted fulltime job",85000,1,"0","Finance"
"1","accepted fulltime job",58000,1,"1","Supply Chain & Operations Mgmt"
"1","accepted fulltime job",62000,1,"1","Accountancy"
"1","seeking employment",NA,1,"2","Marketing"
"1","seeking employment",NA,1,"2","Business Economics"
"1","accepted fulltime job",NA,1,"1","Accountancy"
NA,"accepted fulltime job",NA,1,"0","Marketing"
"1","seeking employment",NA,1,"2","Marketing"
"1","accepted fulltime job",63000,1,"1","Finance"
"0","accepted fulltime job",NA,1,"0","Finance"
NA,"accepted fulltime job",62000,1,"1","Accountancy"
"2","accepted fulltime job",50000,1,"1","Marketing"
"2","accepted fulltime job",29000,1,"2","Marketing"
"0","continuing education",NA,0,"2","Finance"
NA,"accepted fulltime job",53000,1,"3","Marketing"
"1","accepted fulltime job",53000,1,"2","Management and Leadership"
"1","accepted fulltime job",56000,1,"4","Finance"
"0","seeking employment",NA,0,"0","Human Capital Mgmt& Leadership"
"1","accepted fulltime job",55000,1,"1","Finance"
"2","accepted fulltime job",60000,1,"3","Finance"
"2","accepted fulltime job",65000,1,"2","Marketing"
"3","other",NA,1,"2","Finance"
NA,"accepted fulltime job",45000,1,"3","Finance"
"1","accepted fulltime job",59000,1,"1","Accountancy"
"1","accepted fulltime job",51000,1,"1","Accountancy"
"3","accepted fulltime job",54000,1,"2","Marketing"
"0","seeking employment",NA,0,"0","Finance"
"0","seeking employment",NA,0,"1","Marketing"
"1","accepted fulltime job",62500,1,"1","Marketing"
NA,"continuing education",NA,0,"0","Management and Leadership"
"3","continuing education",NA,1,"2","Supply Chain & Operations Mgmt"
"0","seeking employment",NA,0,"2","Marketing"
"2","accepted fulltime job",54000,1,"2","Marketing"
"0","accepted fulltime job",NA,1,"2","Business Economics"
NA,"accepted fulltime job",75000,1,"3","Finance"
"2","accepted fulltime job",60000,1,"1","Finance"
"2","accepted fulltime job",50000,1,"2","Supply Chain & Operations Mgmt"
"1","accepted fulltime job",60000,1,"1","Finance"
"1","accepted fulltime job",58000,1,"0","Business Economics"
"0","seeking employment",NA,0,"1","Finance"
"1","accepted fulltime job",40000,1,"1","Marketing"
"1","seeking employment",NA,1,"3","Marketing"
"4","seeking employment",NA,1,"2","Marketing"
"1","accepted fulltime job",53000,1,"2","Accountancy"
"2","accepted fulltime job",45000,1,"2","Marketing"
"3","accepted fulltime job",75000,1,"2","Supply Chain & Operations Mgmt"
"2","accepted fulltime job",55000,1,"2","Accountancy"
NA,"seeking employment",NA,0,"1","Marketing"
NA,"accepted fulltime job",59000,1,"2","Marketing"
NA,"accepted fulltime job",NA,1,"1","Finance"
"0","seeking employment",NA,0,"3","Finance"
"4","accepted fulltime job",50000,1,"3","Marketing"
"0","seeking employment",NA,0,"0","Marketing"
"3","accepted fulltime job",90000,1,"2","Finance"
"2","accepted fulltime job",64500,1,"2","Supply Chain & Operations Mgmt"
"2","accepted fulltime job",66200,1,"2","Finance"
"2","accepted fulltime job",82000,1,"4","Information Systems"
"2","seeking employment",NA,1,"2","Supply Chain & Operations Mgmt"
"2","accepted fulltime job",65000,1,"3","Supply Chain & Operations Mgmt"
"0","seeking employment",NA,0,"3","Marketing"
"2","accepted fulltime job",40000,1,"2","Marketing"
NA,"accepted fulltime job",64000,1,"2","Marketing"
"3","accepted fulltime job",40000,1,"1","Marketing"
"1","accepted fulltime job",52500,1,"3","Supply Chain & Operations Mgmt"
"1","accepted fulltime job",NA,1,"1","Finance"
NA,"accepted fulltime job",NA,1,"3","Marketing"
"1","accepted fulltime job",50000,1,"2","Marketing"
"1","accepted fulltime job",67500,1,"1","Accountancy"
"4","accepted fulltime job",50000,1,"1","Finance"
"0","accepted fulltime job",52000,1,"1","Accountancy"
"1","accepted fulltime job",60500,1,"4","Management and Leadership"
NA,"accepted fulltime job",NA,1,"1","Finance"
"0","seeking employment",NA,0,"1","Marketing"
"1","accepted fulltime job",53000,1,"2","Human Capital Mgmt& Leadership"
"4","accepted fulltime job",85000,1,"2","Accountancy"
"1","accepted fulltime job",53000,1,"1","Accountancy"
"0","seeking employment",NA,0,"1","Marketing"
"0","accepted fulltime job",61700,1,"2","Business Economics"
"1","accepted fulltime job",45000,1,"1","Marketing"
"10","accepted fulltime job",70000,1,"0","Finance"
NA,"accepted fulltime job",50000,1,"0","Marketing"
NA,"accepted fulltime job",NA,1,"2","Information Systems"
"0","accepted fulltime job",NA,1,"1","Finance"
"1","seeking employment",NA,1,"1","Business Economics"
"2","accepted fulltime job",62000,1,"1","Information Systems"
"3","accepted fulltime job",40000,1,"1","Marketing"
"2","accepted fulltime job",NA,1,"0","Supply Chain & Operations Mgmt"
"1","accepted fulltime job",84000,1,"2","Finance"
NA,"accepted fulltime job",NA,1,"4","Marketing"
"3","accepted fulltime job",70000,1,"3","Finance"
"3","accepted fulltime job",65000,1,"2","Finance"
"1","accepted fulltime job",65000,1,"1","Finance"
NA,"accepted fulltime job",35000,1,"0","Marketing"
"3","accepted fulltime job",60000,1,"2","Marketing"
"2","accepted fulltime job",80000,1,"3","Marketing"
"0","accepted fulltime job",NA,1,"0","Accountancy"
"3","accepted fulltime job",58000,1,"0","Marketing"
"0","seeking employment",NA,0,"1","Business Analytics"
"1","accepted fulltime job",60000,1,"1","Finance"
"2","accepted fulltime job",40000,1,"2","Supply Chain & Operations Mgmt"
NA,"accepted fulltime job",NA,1,"2","Marketing"
"0","accepted fulltime job",NA,1,"2","Supply Chain & Operations Mgmt"
NA,"accepted fulltime job",53000,1,"0","Accountancy"
NA,"accepted fulltime job",70000,1,"0","Finance"
"3","accepted fulltime job",65000,1,"4","Business Economics"
"1","seeking employment",NA,1,"1","Marketing"
"1","accepted fulltime job",62000,1,"2","Accountancy"
"1","accepted fulltime job",42000,1,"2","Finance"
"0","accepted fulltime job",NA,1,"2","Finance"
"1","accepted fulltime job",67000,1,"2","Human Capital Mgmt& Leadership"
"1","accepted fulltime job",65000,1,"1","Information Systems"
NA,"accepted fulltime job",57000,1,"2","Accountancy"
NA,"accepted fulltime job",60000,1,"0","Management and Leadership"
"2","accepted fulltime job",50000,1,"0","Finance"
"2","accepted fulltime job",80000,1,"2","Accountancy"
"1","accepted fulltime job",69000,1,"2","Finance"
"4","accepted fulltime job",63000,1,"2","Accountancy"
"2","seeking employment",NA,1,"2","Marketing"
"2","accepted fulltime job",72500,1,"2","Finance"
"1","accepted fulltime job",50000,1,"2","Accountancy"
"1","accepted fulltime job",52500,1,"1","Supply Chain & Operations Mgmt"
"1","accepted fulltime job",60000,1,"2","Finance"
NA,"accepted fulltime job",45000,1,"3","Finance"
"1","accepted fulltime job",62500,1,"1","Marketing"
"2","accepted fulltime job",NA,1,"2","Supply Chain & Operations Mgmt"
"1","accepted fulltime job",54900,1,"2","Supply Chain & Operations Mgmt"
"1","accepted fulltime job",79500,1,"2","Finance"
"3","accepted fulltime job",44000,1,"0","Management and Leadership"
NA,"accepted fulltime job",NA,1,"2","Marketing"
"4","accepted fulltime job",73000,1,"2","Business Economics"
"2","accepted fulltime job",38000,1,"0","Marketing"
"0","seeking employment",NA,0,"1","Information Systems"
"0","seeking employment",NA,0,"3","Finance"
"4","accepted fulltime job",70000,1,"2","Human Capital Mgmt& Leadership"
"1","accepted fulltime job",51000,1,"1","Accountancy"
"2","accepted fulltime job",52000,1,"1","Supply Chain & Operations Mgmt"
"0","seeking employment",NA,0,"2","Supply Chain & Operations Mgmt"
"0","accepted fulltime job",NA,1,"1","Marketing"
"2","accepted fulltime job",45000,1,"2","Finance"
NA,"accepted fulltime job",65000,1,"3","Marketing"
"2","accepted fulltime job",65000,1,"3","Marketing"
"1","accepted fulltime job",58000,1,"2","Accountancy"
"2","accepted fulltime job",57500,1,"3","Accountancy"
"2","accepted fulltime job",56000,1,"0","Accountancy"
NA,"accepted fulltime job",52500,1,"2","Supply Chain & Operations Mgmt"
"1","accepted fulltime job",55000,1,"1","Marketing"
"2","accepted fulltime job",95000,1,"3","Finance"
"1","accepted fulltime job",57000,1,"2","Finance"
"0","seeking employment",NA,0,"1","Business Analytics"
"2","accepted fulltime job",60000,1,"0","Business Analytics"
"1","accepted fulltime job",50000,1,"3","Marketing"
NA,"continuing education",NA,0,"0","Finance"
"1","seeking employment",NA,1,"1","Finance"
"0","accepted fulltime job",NA,1,"2","Marketing"
"1","accepted fulltime job",62000,1,"2","Finance"
"6","accepted fulltime job",65000,1,"0","Supply Chain & Operations Mgmt"
"0","seeking employment",NA,0,"1","Finance"
"2","accepted fulltime job",60000,1,"2","Marketing"
"1","accepted fulltime job",65000,1,"2","Finance"
"1","accepted fulltime job",80000,1,"2","Supply Chain & Operations Mgmt"
"1","seeking employment",NA,1,"1","Finance"
"2","accepted fulltime job",80000,1,"3","Marketing"
"1","accepted fulltime job",65000,1,"1","Finance"
NA,"accepted parttime job",NA,0,"5","Marketing"
"0","accepted fulltime job",NA,1,"1","Supply Chain & Operations Mgmt"
"1","accepted fulltime job",52000,1,"2","Marketing"
NA,"accepted fulltime job",NA,1,"0","Finance"
NA,"seeking employment",NA,0,"3","Marketing"
NA,"accepted fulltime job",65000,1,"0","Finance"
"1","accepted fulltime job",55000,1,"2","Information Systems"
"2","accepted fulltime job",60000,1,"2","Finance"
"2","accepted fulltime job",60000,1,"2","Marketing"
"3","accepted fulltime job",60000,1,"2","Accountancy"
"1","accepted fulltime job",55000,1,"2","Supply Chain & Operations Mgmt"
"0","seeking employment",NA,0,"2","Finance"
